Recipient_ID,Gender,age,income,Credit_Score,Education_Level,Region,Telephone_No
1002790,Joint,55-64,11820,548,2,North,6744753282
1002791,Female,25-34,10680,532,2,North,7418610661
1002792,Female,55-64,6420,551,1,North,2619656040
1002793,Joint,55-64,3780,856,2,North,8206525150
1002794,Sex Not Available,55-64,3600,633,1,south,4979479453
1002795,Sex Not Available,25-34,7260,786,1,south,5706370879
1002796,Female,65-74,2160,803,3,North,1423143126
1002797,Sex Not Available,55-64,3360,740,3,south,9046872572
1002798,Female,35-44,5400,829,3,North,6112720552
1002799,Female,35-44,4980,888,2,North,7466080735
1002800,Joint,25-34,9480,718,2,North,5181857895
1002801,Male,35-44,6540,731,3,North,9014434408
1002802,Female,45-54,3180,786,1,North,4027631356
1002803,Male,45-54,8760,598,2,south,1977079245
1002804,Male,55-64,1320,634,2,North,8822602009
1002805,Female,35-44,3900,798,1,North,1268079238
1002806,Male,35-44,8580,700,2,North,1818120667
1002807,Joint,55-64,5220,858,2,North,9206468943
1002808,Sex Not Available,65-74,1680,893,2,south,3686680479
1002809,Joint,65-74,3360,662,2,North,5525848828
1002810,Male,35-44,3780,586,1,North,5659560678
1002811,Sex Not Available,55-64,9540,601,1,south,4859390779
1002812,Joint,35-44,3960,724,2,North,2134593526
1002813,Female,55-64,4740,686,1,North,7803475808
1002814,Male,55-64,1860,663,2,North,5468165442
1002815,Female,25-34,6060,836,2,south,1504972835
1002816,Joint,25-34,6540,847,3,south,8784139081
1002817,Joint,65-74,6060,802,1,North,8253621616
1002818,Joint,25-34,8340,757,1,North,8398178495
1002819,Joint,65-74,4500,827,2,south,6122269112
1002820,Female,>74,2760,600,3,North,5532249194
1002821,Joint,45-54,12720,662,2,North,2527571667
1002822,Male,35-44,7140,822,2,south,8932110353
1002823,Female,45-54,4800,635,3,North,7107138979
1002824,Male,45-54,4200,701,2,North,2786637371
1002825,Joint,45-54,,671,3,North,2505900143
1002826,Joint,35-44,11820,577,1,south,3675913175
1002827,Sex Not Available,55-64,6720,536,2,south,2895534660
1002828,Joint,35-44,14100,783,2,central,1600524026
1002829,Sex Not Available,35-44,5400,756,1,south,3199774211
1002830,Sex Not Available,45-54,2940,697,3,south,3422574403
1002831,Joint,35-44,,563,3,south,7577107730
1002832,Sex Not Available,35-44,4200,528,3,south,4501790658
1002833,Joint,45-54,10560,548,3,south,9032611798
1002834,Male,35-44,6600,884,2,North,7390888223
1002835,Male,<25,15360,813,1,south,6250092048
1002836,Joint,35-44,,566,2,North,6402657702
1002837,Sex Not Available,35-44,16740,571,2,south,3861778154
1002838,Joint,45-54,6600,716,3,North,3791698951
1002839,Joint,65-74,13260,575,3,North,8613585353
1002840,Joint,45-54,14880,727,1,North,8877518225
1002841,Male,35-44,13200,868,1,south,5311216507
1002842,Male,55-64,4980,617,2,North,5300721770
1002843,Male,55-64,,608,2,central,5281384251
1002844,Sex Not Available,55-64,4620,812,2,south,5624806290
1002845,Female,35-44,10980,816,1,North,8093492897
1002846,Female,55-64,1260,882,2,south,9127146902
1002847,Male,35-44,10560,535,2,south,4638747066
1002848,Sex Not Available,65-74,4260,596,1,south,4561801903
1002849,Male,25-34,4560,809,1,North,8454317501
1002850,Joint,65-74,1740,875,1,central,5150266775
1002851,Female,35-44,4080,849,2,North,3394106984
1002852,Male,45-54,2220,758,2,North,1995483283
1002853,Joint,55-64,2640,781,1,North,4713030742
1002854,Joint,45-54,7560,522,1,North,6860130955
1002855,Joint,55-64,7800,646,1,North,8441505168
1002856,Male,55-64,5160,780,2,North,2644223303
1002857,Male,35-44,3300,524,2,North,2537709998
1002858,Sex Not Available,35-44,4800,781,3,south,3669498695
1002859,Sex Not Available,65-74,6600,851,3,south,6138213985
1002860,Male,35-44,5400,539,1,south,5525523051
1002861,Male,25-34,5700,821,1,North,9191453972
1002862,Male,45-54,1500,863,3,south,9243087658
1002863,Joint,35-44,3960,726,3,North,6979804744
1002864,Joint,55-64,2640,879,2,central,8368463103
1002865,Female,>74,4140,615,1,south,8791372085
1002866,Joint,55-64,5280,602,1,North,3309885663
1002867,Sex Not Available,55-64,10980,798,3,south,1515799768
1002868,Female,65-74,2760,853,2,North,7612419371
1002869,Male,45-54,2100,800,3,south,2705195316
1002870,Sex Not Available,45-54,10320,804,3,south,6396403518
1002871,Sex Not Available,45-54,3660,723,3,south,4696665127
1002872,Female,45-54,1980,782,1,North,6613424950
1002873,Male,45-54,6720,514,3,North,1011992410
1002874,Joint,55-64,5400,535,2,North,7101989244
1002875,Sex Not Available,35-44,9000,742,2,south,2969761564
1002876,Sex Not Available,45-54,2280,763,1,south,2458992043
1002877,Joint,45-54,5340,555,3,North,5503234956
1002878,Sex Not Available,45-54,9480,751,1,south,2070461010
1002879,Female,>74,2940,750,3,south,8514956761
1002880,Sex Not Available,45-54,3480,780,1,south,4246012697
1002881,Male,35-44,3000,697,3,North,7647929762
1002882,Male,25-34,1920,662,3,North,3919631510
1002883,Sex Not Available,45-54,22080,537,2,south,9185306154
1002884,Female,45-54,1620,561,3,south,3947077823
1002885,Sex Not Available,55-64,4440,856,3,south,4169517100
1002886,Joint,55-64,9000,817,1,North,9020073056
1002887,Male,45-54,4860,700,1,North,4445476747
1002888,Female,55-64,16200,761,2,North,8652504911
1002889,Joint,65-74,2520,776,2,North,2523837434
1002890,Male,35-44,7380,756,1,North,3522416744
1002891,Female,55-64,5940,744,1,south,7795191367
1002892,Sex Not Available,35-44,2820,657,2,south,3561067583
1002893,Sex Not Available,35-44,,614,2,south,6155923399
1002894,Female,35-44,3240,824,1,south,3651350526
1002895,Joint,45-54,7500,697,2,south,5614759482
1002896,Joint,45-54,,765,2,North,3500804359
1002897,Sex Not Available,35-44,9300,710,2,south,5716824866
1002898,Sex Not Available,55-64,6360,668,2,south,8814099523
1002899,Sex Not Available,65-74,17760,626,2,south,8918798231
1002900,Joint,35-44,,736,1,North,9558635829
1002901,Sex Not Available,55-64,1500,734,2,south,8267556693
1002902,Sex Not Available,45-54,12180,542,1,south,6264266611
1002903,Joint,35-44,15780,554,1,south,3892986576
1002904,Joint,55-64,14340,555,2,south,4368835303
1002905,Female,45-54,4200,778,2,central,8332890697
1002906,Female,45-54,4920,854,2,south,1027653868
1002907,Sex Not Available,65-74,6060,804,3,south,9734397017
1002908,Male,45-54,2700,735,2,south,4064315641
1002909,Female,65-74,3900,580,1,North,4011576227
1002910,Male,55-64,6060,595,3,south,2502590940
1002911,Joint,55-64,4260,694,1,North,5499683737
1002912,Male,55-64,3600,739,2,North,3906445436
1002913,Female,45-54,3660,549,3,North,9730446053
1002914,Sex Not Available,35-44,9360,659,2,south,2001157073
1002915,Sex Not Available,65-74,12660,599,1,south,7498037886
1002916,Female,55-64,2340,552,3,North,7169790082
1002917,Male,55-64,5520,828,1,North,1848748537
1002918,Female,65-74,2460,690,1,North,1042987438
1002919,Male,35-44,7680,578,2,North,4272710478
1002920,Male,55-64,2400,627,1,North,5994017718
1002921,Female,35-44,3660,540,1,North,3756054288
1002922,Female,45-54,5940,611,3,south,9008733793
1002923,Sex Not Available,45-54,6120,595,2,south,6743507242
1002924,Sex Not Available,>74,17760,553,1,south,4859330532
1002925,Sex Not Available,35-44,9300,749,3,south,8623130823
1002926,Joint,45-54,9900,671,1,North,4693376972
1002927,Joint,45-54,7200,684,3,North,2824918950
1002928,Female,45-54,7200,855,2,North,5579432445
1002929,Joint,>74,3000,875,2,south,1231237655
1002930,Joint,45-54,9180,758,3,North,4008613815
1002931,Joint,45-54,6240,646,3,south,4739734371
1002932,Female,45-54,16020,532,2,North,7384972215
1002933,Male,25-34,7500,721,1,North,9131723158
1002934,Sex Not Available,45-54,16020,819,2,North,9547271096
1002935,Sex Not Available,25-34,6000,779,3,south,6752446652
1002936,Joint,25-34,11340,615,3,North,6347958355
1002937,Female,55-64,24780,648,1,south,8773606687
1002938,Joint,25-34,2580,778,2,south,3783342690
1002939,Joint,55-64,3720,559,1,North,9517266635
1002940,Joint,45-54,4560,533,1,North,2560644219
1002941,Male,55-64,2940,700,2,North,1237546494
1002942,Joint,25-34,16740,799,2,North,7718898818
1002943,Male,55-64,3120,560,1,North,4289198231
1002944,Male,35-44,11100,889,1,North,5868801333
1002945,Sex Not Available,35-44,10380,800,3,south,6727118916
1002946,Female,55-64,2580,704,1,south,4199499147
1002947,Sex Not Available,45-54,4500,673,2,south,4325707419
1002948,Joint,25-34,8940,890,2,North,8273986857
1002949,Joint,25-34,33420,830,2,North,8738114214
1002950,Female,55-64,6780,501,1,North,1127457822
1002951,Joint,45-54,23700,725,2,south,1176645486
1002952,Female,35-44,6840,578,2,North,5285431038
1002953,Joint,45-54,9660,737,2,North,6247215536
1002954,Sex Not Available,25-34,,870,1,south,4045602683
1002955,Male,65-74,9120,649,2,North,3757480998
1002956,Male,45-54,8340,661,1,south,4073762741
1002957,Female,35-44,4020,640,3,North,5069263500
1002958,Sex Not Available,>74,8640,891,1,south,3175218444
1002959,Female,45-54,4800,761,3,central,8927295130
1002960,Sex Not Available,55-64,3360,670,3,south,4225297856
1002961,Female,25-34,11640,643,3,North,6311387545
1002962,Joint,65-74,13920,658,3,North,1381708599
1002963,Sex Not Available,55-64,6900,667,3,south,5870282459
1002964,Joint,45-54,32280,619,2,North,4471253597
1002965,Female,65-74,1620,889,2,North,4481333654
1002966,Sex Not Available,45-54,0,507,1,south,3242048039
1002967,Female,55-64,13920,685,1,North,7881228928
1002968,Male,45-54,8940,578,1,North,1972943585
1002969,Female,55-64,4500,825,3,North,3602082183
1002970,Joint,25-34,8520,878,1,North,9898131421
1002971,Female,45-54,6840,879,2,central,8781689664
1002972,Female,<25,660,900,3,North-East,5885582951
1002973,Male,35-44,9180,617,1,North,4199656591
1002974,Sex Not Available,55-64,10920,562,3,south,6891134095
1002975,Male,45-54,5820,760,2,south,5676740966
1002976,Male,35-44,4980,625,2,south,3143654916
1002977,Female,45-54,5160,724,1,North,5234530080
1002978,Sex Not Available,45-54,9000,789,1,south,1381187636
1002979,Male,25-34,4140,861,1,south,8668712250
1002980,Sex Not Available,25-34,7200,518,2,south,7037457234
1002981,Joint,25-34,6960,890,2,North,1897088132
1002982,Male,55-64,4860,567,3,south,2950117284
1002983,Joint,45-54,13260,582,2,North,7869552610
1002984,Female,45-54,5580,527,2,North,8337931847
1002985,Sex Not Available,65-74,,854,1,south,7427707443
1002986,Female,>74,2940,598,2,North,8350303360
1002987,Female,45-54,5220,743,2,North,8877940253
1002988,Joint,25-34,8880,511,3,south,5680546360
1002989,Joint,35-44,14220,555,2,south,8796741124
1002990,Male,25-34,4980,704,1,North,8629307068
1002991,Sex Not Available,25-34,3600,625,1,south,6973374529
1002992,Male,45-54,7020,836,1,North,5105357916
1002993,Male,25-34,6960,775,1,North,2809958181
1002994,Male,<25,6420,523,3,North,7795431924
1002995,Male,35-44,3900,797,3,North,1458231876
1002996,Sex Not Available,>74,2700,537,2,south,4920797149
1002997,Male,45-54,8220,606,2,North,2299553208
1002998,Joint,35-44,,771,3,south,1007463941
1002999,Male,45-54,8640,736,2,North,2245318871
1003000,Joint,25-34,10920,858,2,central,3499654968
1003001,Male,25-34,5880,673,2,central,5520296564
1003002,Joint,35-44,10560,888,2,North,7292947529
1003003,Sex Not Available,45-54,,866,2,south,2086714254
1003004,Joint,55-64,4560,668,3,North,6331100313
1003005,Joint,55-64,4140,514,3,North,9117785447
1003006,Joint,>74,,750,1,south,1311083224
1003007,Joint,25-34,9900,571,2,North,1282774671
1003008,Sex Not Available,45-54,,722,3,south,1364648707
1003009,Male,55-64,5100,780,1,North,3823213277
1003010,Joint,35-44,8160,509,2,North,7234197230
1003011,Joint,35-44,18960,764,1,south,4047751712
1003012,Male,65-74,4800,691,2,North,5745251644
1003013,Joint,55-64,6540,756,1,south,5389878991
1003014,Joint,45-54,9360,887,1,North,2859069732
1003015,Male,35-44,3960,891,1,south,1778345180
1003016,Sex Not Available,45-54,5820,577,2,south,4562854938
1003017,Sex Not Available,55-64,12300,731,1,south,4420007486
1003018,Male,45-54,6240,636,1,North-East,2376237906
1003019,Female,45-54,8820,885,3,North,4179920650
1003020,Male,35-44,2820,848,1,south,8135902765
1003021,Joint,55-64,3420,772,3,North,1559510371
1003022,Male,45-54,8160,656,3,North,3591277629
1003023,Sex Not Available,55-64,3900,501,2,south,7595086530
1003024,Sex Not Available,55-64,9540,516,2,south,1566845729
1003025,Female,45-54,8100,657,2,North,7828474561
1003026,Joint,35-44,4980,606,3,North,5491299371
1003027,Joint,35-44,10680,677,3,North,3657843537
1003028,Joint,45-54,11820,581,3,North,2352530774
1003029,Male,45-54,4320,831,2,south,1934570751
1003030,Joint,35-44,11160,891,1,south,3584821839
1003031,Sex Not Available,55-64,,757,1,south,6365937142
1003032,Joint,45-54,3540,567,3,North,4887013709
1003033,Male,25-34,10680,715,1,south,3249555578
1003034,Female,45-54,7800,621,3,North,7251346078
1003035,Sex Not Available,45-54,4140,540,1,south,5069172716
1003036,Joint,55-64,4920,754,1,central,4114085168
1003037,Joint,45-54,18900,851,1,North,7698676119
1003038,Male,45-54,3720,846,1,North,5226791653
1003039,Sex Not Available,45-54,12480,733,2,south,9353707891
1003040,Sex Not Available,55-64,4680,745,1,south,4380413096
1003041,Sex Not Available,>74,3180,662,2,south,2638010755
1003042,Male,45-54,3960,757,1,central,9729080532
1003043,Sex Not Available,35-44,2820,629,2,south,8232218620
1003044,Joint,>74,11880,870,3,North,9981253306
1003045,Joint,45-54,7560,847,3,south,7475496262
1003046,Sex Not Available,35-44,7740,548,1,south,3563513159
1003047,Male,45-54,17940,689,1,North,9680859057
1003048,Male,45-54,5340,519,2,North,3752221549
1003049,Female,65-74,3060,861,2,North,1101361759
1003050,Joint,35-44,7140,707,3,central,9312766676
1003051,Male,65-74,5340,710,2,North,2174941996
1003052,Sex Not Available,25-34,2760,699,2,south,4639815526
1003053,Female,55-64,4980,564,2,North,6902140361
1003054,Joint,65-74,4800,561,2,North,7391262747
1003055,Sex Not Available,35-44,6180,673,3,south,4671041824
1003056,Male,35-44,15600,896,3,south,6005998258
1003057,Male,65-74,0,882,2,North,6915270945
1003058,Joint,55-64,7680,655,2,North,7703100919
1003059,Sex Not Available,>74,5220,682,3,south,4251665302
1003060,Sex Not Available,65-74,2820,525,2,south,9561951636
1003061,Sex Not Available,55-64,6120,688,2,south,4366035752
1003062,Male,25-34,4800,895,1,North,5170145641
1003063,Male,35-44,6840,629,3,south,4232260639
1003064,Female,45-54,7200,777,1,North,4913689058
1003065,Male,35-44,3120,887,2,North,5182750421
1003066,Male,45-54,7680,807,2,North,9465205996
1003067,Male,25-34,6960,545,3,North,6362038014
1003068,Joint,45-54,9360,714,3,North,4287989924
1003069,Joint,25-34,6240,610,1,south,9088206711
1003070,Joint,65-74,6480,678,2,North,3430393879
1003071,Joint,25-34,,849,3,North,4911245956
1003072,Female,35-44,1740,667,2,North,3761613544
1003073,Male,25-34,3900,562,1,North,4062160266
1003074,Joint,35-44,12240,766,3,North,2657636696
1003075,Joint,65-74,3600,883,3,central,4796224248
1003076,Sex Not Available,45-54,10500,688,1,south,5081930171
1003077,Joint,35-44,7980,526,2,North,6022374008
1003078,Female,35-44,5340,500,1,North,8258662191
1003079,Joint,45-54,4320,665,1,south,1472792963
1003080,Male,55-64,6300,876,2,south,1139865728
1003081,Joint,35-44,16140,677,3,North,9742450517
1003082,Female,25-34,7200,624,3,south,1947872764
1003083,Joint,55-64,7620,722,1,North,4767398593
1003084,Male,45-54,,847,1,south,5381437804
1003085,Sex Not Available,65-74,3180,678,1,south,4393786570
1003086,Joint,55-64,,803,1,south,3207383671
1003087,Male,>74,1440,884,2,North,3997055032
1003088,Female,55-64,6720,880,1,North,3992964625
1003089,Female,55-64,9000,772,1,North,4759764944
1003090,Female,45-54,1800,718,1,North,8485048544
1003091,Sex Not Available,45-54,2580,881,1,south,9850674433
1003092,Male,55-64,8160,752,1,North,9157286739
1003093,Joint,35-44,13920,896,1,North,4869833943
1003094,Joint,35-44,17280,568,1,North,9735692732
1003095,Male,45-54,4500,679,3,North,9929768638
1003096,Sex Not Available,65-74,11160,609,3,south,1838368786
1003097,Female,65-74,5040,819,3,North,3204837127
1003098,Male,65-74,3720,707,3,North,3351112752
1003099,Joint,55-64,5280,714,2,North,8388999222
1003100,Joint,25-34,11700,565,3,North,5972267292
1003101,Joint,55-64,,779,3,south,6969239954
1003102,Female,45-54,7500,632,1,North,6228605862
1003103,Male,55-64,4140,540,2,south,5524507828
1003104,Female,65-74,3780,846,3,North,8870159859
1003105,Female,65-74,3300,887,3,North,6300286537
1003106,Joint,45-54,15300,781,1,North,8882424285
1003107,Male,25-34,,687,1,south,8531052066
1003108,Sex Not Available,45-54,6180,877,2,south,8552707977
1003109,Male,45-54,8760,767,3,North,4607443397
1003110,Male,45-54,6000,557,3,North,2628381816
1003111,Sex Not Available,55-64,2700,527,2,south,9443142013
1003112,Female,55-64,1920,791,3,North,3455832316
1003113,Joint,55-64,4500,701,3,North,4743165992
1003114,Sex Not Available,55-64,4980,816,2,south,5071523119
1003115,Male,35-44,6660,716,1,south,2174664085
1003116,Female,55-64,10560,828,1,south,8380127626
1003117,Joint,65-74,2700,571,1,North,9210877723
1003118,Joint,45-54,1920,719,1,North,6721039330
1003119,Male,35-44,6120,685,2,North,3711563934
1003120,Male,25-34,5640,709,1,North,4851649998
1003121,Female,65-74,3060,714,1,North,5508062891
1003122,Male,55-64,3600,557,2,North,4086397935
1003123,Sex Not Available,>74,4680,873,1,south,9041868813
1003124,Sex Not Available,35-44,7800,567,3,south,1601983575
1003125,Sex Not Available,55-64,4320,862,1,south,1218872292
1003126,Female,45-54,5820,627,3,south,5266915516
1003127,Male,45-54,6300,647,1,south,6365407978
1003128,Joint,65-74,2940,769,3,North,3285412953
1003129,Joint,>74,4140,701,1,south,6055632524
1003130,Joint,45-54,6000,852,3,North,5857743593
1003131,Male,25-34,7200,519,2,North,6396707955
1003132,Female,55-64,2340,634,3,south,4410417051
1003133,Male,55-64,5880,697,1,North,7967689488
1003134,Joint,45-54,6900,558,3,North,5601815996
1003135,Joint,35-44,14280,500,1,south,9928739093
1003136,Joint,55-64,8100,723,1,central,9867672997
1003137,Male,65-74,10260,558,3,North,7409717591
1003138,Sex Not Available,45-54,4860,732,2,south,9302973487
1003139,Female,55-64,1980,612,3,North,2639326973
1003140,Male,55-64,6360,643,1,North,6069893852
1003141,Joint,45-54,11040,573,2,North,5126300979
1003142,Sex Not Available,65-74,1740,597,2,south,7942552189
1003143,Male,55-64,6540,689,1,south,9733824348
1003144,Female,55-64,5400,552,3,south,1989327402
1003145,Joint,45-54,9300,896,1,south,1773281876
1003146,Joint,55-64,8040,816,2,North,8999280777
1003147,Joint,25-34,,860,1,North,1621348736
1003148,Joint,>74,7800,720,3,North,7993973667
1003149,Sex Not Available,65-74,3300,626,3,south,6628902332
1003150,Female,35-44,5520,599,2,south,3601672716
1003151,Joint,45-54,7320,781,3,North,9931170025
1003152,Sex Not Available,35-44,5700,529,1,south,4174850705
1003153,Joint,35-44,6000,730,2,south,1223454029
1003154,Sex Not Available,25-34,2820,575,2,south,4814320006
1003155,Joint,55-64,2040,595,2,North,8202254173
1003156,Joint,65-74,2580,847,2,North,8862987374
1003157,Male,25-34,2400,775,2,North,3260326249
1003158,Joint,25-34,5700,646,1,North,1841040296
1003159,Male,25-34,5760,826,3,North,5029144590
1003160,Joint,45-54,5520,564,3,south,3470391450
1003161,Female,65-74,3360,665,3,North,6238587449
1003162,Sex Not Available,35-44,10980,601,3,south,5012114852
1003163,Joint,35-44,12120,850,3,south,8798807349
1003164,Sex Not Available,45-54,14580,676,2,south,2303068273
1003165,Joint,25-34,5040,501,3,south,5380929772
1003166,Male,25-34,4560,755,3,south,3486768897
1003167,Joint,55-64,13680,838,1,North,4202564554
1003168,Female,65-74,3180,849,2,south,5652213447
1003169,Male,25-34,5040,866,3,North,4801295757
1003170,Sex Not Available,65-74,2280,592,2,south,5797025121
1003171,Joint,55-64,10140,527,3,North,6061179514
1003172,Female,55-64,1380,569,3,North,4026167446
1003173,Sex Not Available,45-54,,658,3,south,2866716073
1003174,Joint,25-34,10380,798,2,south,4290751064
1003175,Joint,35-44,2460,655,1,North,4287844606
1003176,Female,55-64,5640,581,3,central,7225577861
1003177,Female,35-44,4020,784,1,south,9893565592
1003178,Joint,35-44,4920,757,2,central,4207722562
1003179,Male,65-74,,829,2,North,2586810695
1003180,Male,>74,3000,723,3,North,7640340104
1003181,Joint,45-54,5460,694,1,North,3589011583
1003182,Male,35-44,14880,546,2,North,3621329914
1003183,Joint,65-74,13500,801,3,North,3179027535
1003184,Male,45-54,9060,886,3,south,8301190151
1003185,Joint,55-64,14400,776,3,North,8872204529
1003186,Sex Not Available,35-44,14040,868,3,south,4963778032
1003187,Sex Not Available,35-44,4500,590,3,south,6745520985
1003188,Female,45-54,5700,609,3,North,9077397015
1003189,Male,65-74,2940,506,2,North,4495911148
1003190,Joint,25-34,10380,595,1,North,1455243577
1003191,Male,55-64,10800,824,1,North,7243854776
1003192,Sex Not Available,55-64,3720,563,3,south,5964234190
1003193,Male,55-64,3840,764,3,North,7231759813
1003194,Sex Not Available,45-54,2280,644,2,south,4265633619
1003195,Sex Not Available,25-34,3720,691,1,south,6174752063
1003196,Female,45-54,4140,844,2,North,1411498404
1003197,Joint,55-64,4620,506,3,North,6339792651
1003198,Joint,35-44,11100,867,2,central,9295564010
1003199,Joint,55-64,9060,763,1,south,5065253409
1003200,Male,45-54,3240,630,3,south,2608635126
1003201,Female,65-74,3060,850,3,North,7914043144
1003202,Joint,35-44,11580,500,1,North,3895024722
1003203,Female,45-54,9060,530,3,North,2842875247
1003204,Female,35-44,4200,871,1,North,5935099789
1003205,Female,35-44,1920,741,2,North,1508829953
1003206,Male,55-64,6420,503,2,North,9029661367
1003207,Male,55-64,10380,527,2,south,4399990130
1003208,Joint,55-64,11220,821,1,North,3038443532
1003209,Joint,35-44,5640,884,1,North,2401413402
1003210,Joint,45-54,5700,668,2,North,6432693128
1003211,Sex Not Available,55-64,3780,871,2,south,1858426738
1003212,Female,45-54,3120,754,2,North,1156269336
1003213,Female,65-74,5580,886,2,central,6201935555
1003214,Joint,>74,1980,563,1,North,8808873741
1003215,Sex Not Available,35-44,6660,857,2,south,3108064368
1003216,Male,45-54,2580,705,3,central,6921121102
1003217,Joint,65-74,11940,520,2,North,8538120223
1003218,Male,65-74,2520,622,3,North,6032467580
1003219,Male,45-54,9120,716,3,North,6548243736
1003220,Joint,65-74,6060,827,2,North,6770767095
1003221,Joint,25-34,6960,878,1,North,7221906139
1003222,Sex Not Available,45-54,31380,648,2,south,5555839871
1003223,Joint,<25,7380,863,3,south,1860974931
1003224,Joint,45-54,11100,600,1,North,4029799744
1003225,Female,35-44,3720,871,2,North,4972199263
1003226,Male,25-34,2700,561,3,south,4690499521
1003227,Sex Not Available,55-64,5160,693,3,south,3326238669
1003228,Sex Not Available,65-74,3780,895,2,south,8418745479
1003229,Female,35-44,4140,649,2,North,1773193613
1003230,Joint,45-54,13140,598,1,North,5466838532
1003231,Joint,35-44,21120,659,2,North,2503560426
1003232,Joint,45-54,11580,793,2,south,4572402929
1003233,Male,55-64,4380,758,2,North,7968733913
1003234,Male,45-54,8100,719,3,North,1468540089
1003235,Male,35-44,6060,854,3,south,3273252869
1003236,Sex Not Available,55-64,5940,795,2,south,9257564853
1003237,Sex Not Available,65-74,3180,672,2,south,2932226928
1003238,Sex Not Available,35-44,6840,570,3,south,2061367335
1003239,Joint,55-64,5340,512,3,North,8886727556
1003240,Joint,45-54,7980,597,2,south,8153993268
1003241,Sex Not Available,45-54,3900,702,1,south,9332185882
1003242,Joint,25-34,11220,891,3,central,6673443533
1003243,Sex Not Available,25-34,3900,570,2,south,7023122952
1003244,Joint,65-74,8820,771,1,North,8588874127
1003245,Sex Not Available,35-44,2520,660,2,south,2525722887
1003246,Female,55-64,4800,510,3,central,5702157580
1003247,Joint,>74,3060,774,1,North,2990559644
1003248,Sex Not Available,45-54,15180,776,1,south,1549243170
1003249,Joint,35-44,6420,581,3,North,1249203221
1003250,Male,55-64,3300,606,2,south,8112342490
1003251,Joint,45-54,16020,649,1,south,5479115202
1003252,Female,<25,1920,583,2,south,7534300744
1003253,Joint,35-44,3300,842,1,south,8725386449
1003254,Joint,55-64,6300,715,1,North,8415907178
1003255,Sex Not Available,35-44,4140,728,3,south,3483974130
1003256,Joint,>74,10680,649,1,central,8406740412
1003257,Female,55-64,3660,813,1,North,7712123982
1003258,Joint,45-54,60420,713,3,North,8231413194
1003259,Sex Not Available,35-44,4020,642,3,south,9674514841
1003260,Male,25-34,6480,656,3,North,3667534634
1003261,Female,55-64,8400,689,2,North,2508230003
1003262,Joint,55-64,13320,554,2,central,1008627505
1003263,Male,45-54,4800,738,3,North,3603549806
1003264,Male,35-44,,519,3,south,8177988770
1003265,Female,65-74,5220,540,2,North,1181308518
1003266,Male,35-44,6540,676,1,south,3941157289
1003267,Male,55-64,16140,665,2,south,6480051087
1003268,Sex Not Available,55-64,4920,720,2,North,3057962756
1003269,Male,25-34,8940,547,3,North,3114441882
1003270,Female,45-54,4920,738,1,North,2497154368
1003271,Female,>74,1380,677,3,North,2576752813
1003272,Male,35-44,9600,771,3,south,6159548069
1003273,Male,25-34,3240,605,2,North,4105658162
1003274,Male,45-54,9900,862,3,North,5859469336
1003275,Joint,55-64,,900,3,North,9367275786
1003276,Male,65-74,3180,830,1,central,3885882985
1003277,Male,45-54,4680,544,2,North,8986957490
1003278,Male,45-54,5280,593,1,North,3472379396
1003279,Sex Not Available,55-64,10200,521,2,south,1285564095
1003280,Joint,35-44,7560,554,2,North,9469568910
1003281,Sex Not Available,45-54,5040,785,3,south,6117897656
1003282,Female,>74,10680,628,3,North,4603608976
1003283,Joint,35-44,9540,569,2,central,8790862607
1003284,Female,45-54,19680,597,1,North,8700195649
1003285,Joint,25-34,6540,527,1,south,7966641945
1003286,Female,55-64,4680,669,1,south,7282757491
1003287,Sex Not Available,45-54,5460,508,3,south,2154286389
1003288,Male,25-34,1860,812,3,North,7519955081
1003289,Joint,55-64,,619,1,south,9968194698
1003290,Male,65-74,1560,622,1,North-East,7720944764
1003291,Joint,45-54,5040,602,2,North,4788044853
1003292,Female,25-34,5520,883,3,North,7177646537
1003293,Male,25-34,5040,674,3,North,8396450992
1003294,Joint,45-54,13440,544,3,North,1620929650
1003295,Sex Not Available,45-54,4920,582,1,south,2668276574
1003296,Sex Not Available,35-44,4380,742,3,south,1787655655
1003297,Joint,35-44,9000,859,2,south,3798526759
1003298,Joint,25-34,21480,884,3,central,2985631845
1003299,Sex Not Available,45-54,4080,692,2,south,4466053429
1003300,Sex Not Available,55-64,,684,2,south,6336225411
1003301,Sex Not Available,35-44,3780,785,1,south,5981182184
1003302,Joint,25-34,6960,833,3,North,9811658410
1003303,Joint,25-34,7860,751,3,central,8653339581
1003304,Joint,<25,4440,724,1,North,9689679304
1003305,Sex Not Available,65-74,4500,570,1,south,9340044118
1003306,Sex Not Available,45-54,3600,664,2,south,9268137327
1003307,Female,35-44,,646,3,North,7422508460
1003308,Joint,35-44,7860,655,1,North,8369594130
1003309,Sex Not Available,55-64,3960,563,2,south,1567346362
1003310,Female,35-44,6060,598,2,North,8450719613
1003311,Sex Not Available,55-64,5040,789,1,south,8634772063
1003312,Male,45-54,5340,536,2,North,2721549398
1003313,Sex Not Available,45-54,2640,561,2,south,3281417744
1003314,Male,35-44,9960,864,1,south,4188818419
1003315,Male,65-74,4260,735,3,North,3633320225
1003316,Joint,45-54,5760,708,1,North,3614707093
1003317,Sex Not Available,45-54,11580,513,2,south,1853194606
1003318,Female,45-54,4620,734,3,North,9401389622
1003319,Female,45-54,4500,664,1,south,7756466435
